join_key,address
ILWB133021420142014107000,550 North Harding Kirkwood IL 61447
ILWB133030920142014164000,100th Street Monmouth IL 61462
ILWB133033120142014204000,215th Ave Monmouth IL 61462
ILWB133050820142014308000,311 South St Cameron IL 61423
ILWB133100620142014598000,1793 230th Ave Galesburg IL 61401
ILWB133122020142014737000,1905 100th Street Cameron IL 61423
ILWB133122120142014740000,30th ST kirkwood IL 61447
ILWB148041120140140243000,1800E and 2450N Little York IL 61453
ILWB148062320140131211000,Little York IL 61453
ILWB158010120140000005000,A ST Monmouth IL 61462
ILWB158010720140000024000,Broadway Monmouth IL 61462
ILWB158020320140000097000,8th AVE Monmouth IL 61462
ILWB158020320140000100000,3rd ST Monmouth IL 61462
ILWB158020520140000103000,7th ST Monmouth IL 61462
ILWB158021220140000121000,D ST Monmouth IL 61462
ILWB158021820140000140000,6th ST Monmouth IL 61462
ILWB158040720140000260000,D ST Monmouth IL 61462
ILWB158040920140000263000,A ST Monmouth IL 61462
ILWB158050520140000329000,Monmouth IL 61462
ILWB158052220140000371000,Sunnylane Monmouth IL 61462
ILWB158060320140000408000,9th ST Monmouth IL 61462
ILWB158061320140000432000,2nd AVE Monmouth IL 61462
ILWB158062220140000453000,6th AVE Monmouth IL 61462
ILWB158071020140000508000,Public SQ Monmouth IL 61462
ILWB158071420140000524000,Market Alley AVE Monmouth IL 61462
ILWB158072320140000545000,6th ST Monmouth IL 61462
ILWB158072720140000561000,9th St Monmouth IL 61462
ILWB158080920140000608000,5th ST Monmouth IL 61462
ILWB158082020140000641000,Main ST Monmouth IL 61462
ILWB158082720140000670000,9th AVE Monmouth IL 61462
ILWB158090620140000704000,1st AVE Monmouth IL 61462
ILWB158091820140000738000,US Highway 34 Monmouth IL 61462
ILWB158100120140000778000,Broadway Monmouth IL 61462
ILWB158100220140000781000,9th ST Monmouth IL 61462
ILWB158100520140000794000,Girard AVE Monmouth IL 61462
ILWB158100720140000797000,5th AVE Monmouth IL 61462
ILWB158102620140000852000,Boston AVE Monmouth IL 61462
ILWB158122020140001017000,813 Harlem AVE Monmouth IL 61462
ILWB173053120140201444000,80th ST Roseville IL 61473
ILWB173090820140201469000,Broadway Roseville IL 61473
ILWC113030620140140014000,Middle ST Addieville IL 62214
ILWC113042520140140033000,Washington ST Addieville IL 62214
ILWC123032520140140046000,Radom RD DuBois IL 62831
ILWC123060920140140081000,US Highway 51 Richview IL 62877
ILWC123072220140140108000,Stacey LN Richview IL 62877
ILWC123122320140140171000,Locust ST Richview IL 62877
ILWC133103020141410098000,809 S Darlene Dr Irvington IL 62848
ILWC133111020141411107000,158 N Main Hoyleton IL 62803
ILWC144071820140140065000,3rd ST Irvington IL 62848
ILWC153051620142014056000,State Route 15 Nashville IL 62263
ILWC153092420142014088000,First DuBois IL 62831
ILWC173040120140000057000,177 Covington Rd Addieville IL 62214
ILWC173042720140000077000,412 Taylor Ave Okawville IL 62271
ILWC173071620140000120000,111 East Walnut St Okawville IL 62271
ILWC173090220140000136000,I64 MM 38 WB Okawville IL 62271
ILWC173090920140000138000,203 W Elm St Okawville IL 62271
ILWC173121020140000178000,7568 Jimtown Rd Addieville IL 62214
ILWD122013020140000048000,1A court Fairfield IL 62837
ILWD122030720140000118000,3rd ST Fairfield IL 62837
ILWD122031320140000126000,6A 12TH ST Fairfield IL 62837
ILWD122050620140000208000,A ILLINOIS AVE Fairfield IL 62837
ILWD122050920140000214000,14 MARKET AVE Fairfield IL 62837
ILWD122052420140000243000,DOUGLAS ST Fairfield IL 62837
ILWD122081320140000364000,DELAWARE ST Fairfield IL 62837
ILWD122101120140000455000,MAIN ST Fairfield IL 62837
ILWD122101320140000458000,CURRY Fairfield IL 62837
ILWD122120420140000530000,PARKHURST PL Fairfield IL 62837
ILWD143011120140201403000,interstate 64  milepost 103 Wayne City IL 62895
ILWD143020820140201409000,ch 9 Sims IL 62886
ILWD143051020140201441000,I 64 104 milepost Wayne City IL 62895
ILWD154012120142014014000,175 RD Mill Shoals IL 62862
ILWD154061720142014122000,2300 Fairfield IL 62837
ILWD154102420142014182000,RT 15 Fairfield IL 62837
ILWE113010720141401002000,College  BLVD Carmi IL 62821
ILWE113010920141401005000,Oak ST Carmi IL 62821
ILWE113081620141408067000,8th ST Carmi IL 62821
ILWE144011920140014-03000,water STRE grayville IL 62844
